reference_num,name,lat,lon,diameter,confidence,elevation,rho,dn_inside,dn_outside,dn_difference,continous_ejecta_rad,flow_length,dark_halo_diameter,ejecta_completeness,rim_completeness,planform,morphologic_class,central_structure_diameter,wall_terracing,wall_width,multiple_crater,floor_reflectivity,parabolic_feature,impactor_direction,multi_asteroid_grp_num,terrain,interior_flat_floor,exterior_embayment,tectionically_deformed,degradation_state,comments,wall_terracing_detail,multicrater_detail,planform_detail,morph_class_detail,floor_reflectivity_detail,parabolic_detail,terrain_detail,interior_floor_detail,exterior_embayment_detail,techtonically_deformed_detail,degradation_state_detail
1,Mead,12.5,57.219,268.7,1,6052.2,1.91,109,90,19,110.2,0.0,510,0.7,1.0,c,6,193.6,t,0.0,s,i,n,null,0,p,y,n,n,1,impact melt appears to fill inner basin and cover some ejecta; inner wall of rim and ring steepest; area inside inner ring is lighter; fractures in center,terraced,single crater,circular,multi-ring,intermediate,no,plains,yes,no,no,pristine with ejecta
10,Cochran,51.885,143.385,98.1,1,6051.77,3.18,100,85,15,76.4,270.0,0,0.8,1.0,c,5,53.0,t,7.6,s,d,n,w,0,p,y,n,n,1,flows go around tesserae (postdate),terraced,single crater,circular,peak rings,dark,no,plains,yes,no,no,pristine with ejecta
100,Xantippe,-10.856,11.763,40.6,1,6051.45,2.86,108,85,23,42.1,157.8,0,1.0,1.0,c,3,17.2,t,5.7,s,d,n,sw,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
101,Balch,29.9,282.9,39.4,1,6054.44,3.5,143,140,3,26.9,0.0,0,0.3,0.9,c,3,12.7,u,0.0,s,d,n,null,0,t,y,n,y,2,rifted in half;  crater diam listed is pre-rift, diam in direction of rifting is 51.9 km,unterraced,single crater,circular,central peak,dark,no,tessera and mountain belts,yes,no,yes,no ejecta
102,Heloise,40.011,52.029,39.3,1,6051.67,2.55,80,80,0,20.0,0.0,0,0.1,0.9,i,0,0.0,null,0.0,m,d,n,null,0,p,null,y,n,3,null,null,multiple floor,irregular,flat floor,dark,no,plains,null,yes,no,highly degraded
103,La Fayette,70.2,107.6,39.3,1,6051.75,3.5,138,92,46,23.4,79.2,100,1.0,1.0,c,3,10.7,t,5.8,s,b,n,s,0,p,y,n,n,1,flows around (postdates) corona,terraced,single crater,circular,central peak,bright,no,plains,yes,no,no,pristine with ejecta
104,Chiyojo,-47.8,95.7,38.8,1,6051.25,2.86,95,107,-12,51.6,252.0,0,1.0,1.0,c,4,11.4,t,3.9,s,d,n,null,0,p,y,n,n,1,dark flows around crater, small crater 100 km to N?,terraced,single crater,circular,several peaks,dark,no,plains,yes,no,no,pristine with ejecta
105,Piaf,0.8,5.3,38.8,1,6051.09,2.23,120,113,7,31.6,61.0,0,0.9,1.0,c,3,12.9,t,5.5,s,d,n,ne,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
106,Flagstad,-54.3,18.9,38.5,1,6052.15,1.91,83,84,-1,41.5,98.2,80,1.0,1.0,c,3,3.9,t,6.8,s,d,n,se,0,p,y,n,n,1,300 km diffuse halo also,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
107,Howe,-45.7,174.8,38.5,1,6051.42,1.59,102,91,11,31.8,109.8,0,0.8,1.0,c,3,9.8,t,4.3,s,i,n,e,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,intermediate,no,plains,yes,no,no,pristine with ejecta
108,Zenobia,-29.345,28.577,38.5,1,6051.63,2.23,115,80,35,45.8,84.0,95,1.0,1.0,c,4,13.6,t,5.6,s,i,y,null,0,p,y,n,n,1,null,terraced,single crater,circular,several peaks,intermediate,yes,plains,yes,no,no,pristine with ejecta
109,Agrippina,-33.258,65.675,38.4,1,6051.06,2.55,100,100,0,33.6,73.2,0,1.0,1.0,c,3,10.2,t,4.5,s,d,n,n,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
11,Maria Celeste,23.384,140.407,96.6,1,6051.38,2.86,69,66,3,65.3,167.3,0,0.8,1.0,c,5,61.7,t,2.1,s,d,n,nw,0,p,y,m,n,1,null,terraced,single crater,circular,peak rings,dark,no,plains,yes,maybe,no,pristine with ejecta
110,Anicia,-26.32,31.3,38.4,1,6051.89,1.59,90,79,11,40.5,61.4,0,0.8,1.0,c,3,10.7,t,5.9,s,d,n,sse,0,pf,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,null,yes,no,no,pristine with ejecta
111,Ban Zhao,17.145,146.966,38.3,1,6050.8,2.86,130,89,41,45.3,89.2,0,0.9,1.0,c,3,13.4,t,6.3,s,b,y,nne,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,bright,yes,plains,yes,no,no,pristine with ejecta
112,Maltby,-23.28,119.719,38.1,1,6053.4,0.64,127,126,1,16.6,0.0,0,0.8,0.8,c,0,0.0,t,4.0,s,i,n,null,0,c,y,m,y,3,null,terraced,single crater,circular,flat floor,intermediate,no,coronae,yes,maybe,yes,highly degraded
113,Mumtaz-Mahal,30.291,228.446,38.1,1,6051.79,1.59,114,119,-5,26.0,137.7,110,1.0,1.0,c,3,10.5,t,7.2,s,i,n,sw,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,intermediate,no,plains,yes,no,no,pristine with ejecta
114,Uvaysi,2.341,198.259,38.0,1,6056.07,1.27,158,151,7,20.0,0.0,0,0.7,0.9,c,3,10.5,t,4.5,s,i,m,null,0,v,y,y,n,2,null,terraced,single crater,circular,central peak,intermediate,maybe,volcano,yes,yes,no,no ejecta
115,Phryne,-46.149,314.743,37.6,1,6051.2,0.95,106,90,16,29.0,0.0,0,0.9,1.0,c,3,9.2,t,6.3,s,i,n,ene,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,intermediate,no,plains,yes,no,no,pristine with ejecta
116,Xiao Hong,-43.541,101.723,37.6,1,6050.8,2.55,117,102,15,33.2,60.1,115,1.0,1.0,c,4,6.5,t,5.8,s,i,n,ne,0,p,y,n,n,1,null,terraced,single crater,circular,several peaks,intermediate,no,plains,yes,no,no,pristine with ejecta
117,Carson,-24.182,344.141,37.6,1,6051.41,3.18,113,111,2,28.5,69.0,120,0.9,1.0,c,3,12.8,t,7.9,s,d,y,s,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,yes,plains,yes,no,no,pristine with ejecta
118,Cline,-21.852,317.102,37.6,1,6051.6,1.91,122,100,22,37.1,124.4,120,1.0,1.0,c,3,14.0,t,3.9,s,b,n,null,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,bright,no,plains,yes,no,no,pristine with ejecta
119,Caccini,17.425,170.444,37.5,1,6051.68,1.91,120,89,31,26.2,50.4,130,1.0,1.0,c,3,12.1,t,4.3,s,i,n,n,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,intermediate,no,plains,yes,no,no,pristine with ejecta
12,Sayers,-67.467,229.822,93.6,1,6050.95,3.82,93,94,-1,87.6,136.8,0,0.8,1.0,c,5,48.0,t,4.4,s,d,n,ene,0,p,y,n,n,1,null,terraced,single crater,circular,peak rings,dark,no,plains,yes,no,no,pristine with ejecta
120,crater_at_56.3N_242.6E,56.312,242.582,37.5,3,6051.45,0.0,0,0,0,0.0,0.0,0,0.0,1.0,i,0,0.0,u,0.0,s,d,n,null,0,t,null,y,n,3,null,unterraced,single crater,irregular,flat floor,dark,no,tessera and mountain belts,null,yes,no,highly degraded
121,Saskia,-28.58,337.118,37.3,1,6051.85,2.86,95,80,15,25.5,41.0,0,1.0,1.0,c,3,6.7,t,5.0,s,d,n,nne,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
122,Bender,-12.9,327.4,37.1,1,6051.3,0.95,130,111,19,43.3,119.3,0,1.0,1.0,c,0,0.0,t,0.0,s,b,n,w,0,p,y,n,n,1,data gap in center of crater,terraced,single crater,circular,null,bright,no,plains,yes,no,no,pristine with ejecta
123,Bonnin,-6.263,117.587,37.1,2,6054.89,1.27,141,145,-4,0.0,0.0,0,0.0,0.0,i,2,0.0,u,0.0,s,i,n,null,0,t,y,y,n,3,not all orbits,unterraced,single crater,irregular,knobby base,intermediate,no,tessera and mountain belts,yes,yes,no,highly degraded
124,Mowatt,-14.573,292.316,36.7,1,6052.11,1.91,108,96,12,23.3,40.0,100,0.9,1.0,c,3,13.3,t,4.9,s,d,n,null,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
125,Bashkirtseff,14.688,194.073,36.7,1,6053.75,1.59,126,121,5,29.2,0.0,0,0.7,1.0,c,3,11.0,t,4.1,s,d,n,ne,0,p,y,y,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,yes,no,pristine with ejecta
126,Himiko,18.993,124.259,36.7,1,6051.42,2.86,141,67,74,29.8,102.5,0,1.0,1.0,c,3,12.0,t,5.9,s,b,y,ene,0,c,y,n,n,1,null,terraced,single crater,circular,central peak,bright,yes,coronae,yes,no,no,pristine with ejecta
127,Von Siebold,-51.983,36.692,36.3,1,6051.74,0.95,120,110,10,17.9,0.0,170,1.0,1.0,c,3,6.8,t,7.7,s,d,n,null,0,pf,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,null,yes,no,no,pristine with ejecta
128,von Paradis,-32.2,314.9,36.3,1,6051.9,1.91,95,92,3,34.1,47.4,0,1.0,1.0,c,3,9.5,t,5.0,s,d,n,sw,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
129,Lebedeva,45.2,49.8,36.2,1,6051.23,1.91,122,89,33,23.3,0.0,0,0.7,1.0,c,3,11.2,t,4.3,s,b,n,null,0,t,y,y,n,1,null,terraced,single crater,circular,central peak,bright,no,tessera and mountain belts,yes,yes,no,pristine with ejecta
13,Greenaway,22.926,145.101,92.3,1,6051.28,2.55,136,85,51,61.1,128.8,0,1.0,1.0,c,5,50.0,t,9.6,s,b,n,null,0,pf,y,n,n,1,null,terraced,single crater,circular,peak rings,bright,no,null,yes,no,no,pristine with ejecta
130,Germain,-37.684,63.684,35.9,1,6051.09,2.55,112,107,5,45.1,104.6,110,1.0,1.0,c,3,8.4,t,5.1,s,d,n,sse,0,p,y,n,n,1,not all orbits,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
131,Whiting,-6.057,127.989,35.9,1,6054.73,1.27,145,121,24,40.7,0.0,0,0.2,1.0,c,4,11.0,t,4.4,s,i,n,null,0,t,y,y,n,3,null,terraced,single crater,circular,several peaks,intermediate,no,tessera and mountain belts,yes,yes,no,highly degraded
132,Bickerdyke,-82.0,171.4,35.5,1,6051.47,1.59,107,105,2,30.4,0.0,0,1.0,1.0,c,3,11.7,t,4.5,s,i,n,null,0,p,y,n,n,1,flows extend off digital coverage,terraced,single crater,circular,central peak,intermediate,no,plains,yes,no,no,pristine with ejecta
133,Festa,11.48,27.265,35.5,1,6051.61,3.18,113,84,29,31.1,0.0,0,0.9,1.0,c,3,4.0,u,0.0,s,i,n,sse,0,pf,y,n,n,1,volcanism covers part of ejecta?,unterraced,single crater,circular,central peak,intermediate,no,null,yes,no,no,pristine with ejecta
134,Bascom,-10.392,302.156,35.4,1,6052.36,2.86,113,103,10,26.4,39.1,90,1.0,1.0,c,4,16.4,t,4.7,s,d,n,null,0,p,y,y,n,1,flows are associated with nearby volcanism,terraced,single crater,circular,several peaks,dark,no,plains,yes,yes,no,pristine with ejecta
135,Nijinskaya,25.8,122.5,35.4,1,6051.09,2.55,111,112,-1,22.7,0.0,0,1.0,1.0,c,3,8.9,t,5.0,s,i,n,null,0,pf,y,n,n,1,null,terraced,single crater,circular,central peak,intermediate,no,null,yes,no,no,pristine with ejecta
136,Wilder,17.4,122.6,35.3,1,6052.02,3.18,100,73,27,15.5,59.3,0,0.5,0.9,c,3,12.7,t,4.9,s,i,n,null,0,t,y,m,y,2,null,terraced,single crater,circular,central peak,intermediate,no,tessera and mountain belts,yes,maybe,yes,no ejecta
137,Lachappelle,26.7,336.7,35.3,1,6051.34,2.55,112,99,13,17.4,80.0,0,1.0,1.0,c,4,11.0,t,4.0,s,d,n,null,14,pf,y,n,n,1,null,terraced,single crater,circular,several peaks,dark,no,null,yes,no,no,pristine with ejecta
138,Bradstreet,16.5,47.7,35.2,1,6052.44,1.27,93,88,5,28.0,43.9,0,0.7,1.0,c,3,8.6,t,4.3,s,d,n,null,0,v,y,y,m,1,null,terraced,single crater,circular,central peak,dark,no,volcano,yes,yes,maybe,pristine with ejecta
139,Kahlo,-59.85,178.89,34.9,1,6051.17,3.18,90,89,1,29.2,67.9,0,0.8,1.0,c,3,9.2,t,4.6,s,d,n,n,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
14,Potanina,31.661,53.05,89.6,1,6052.05,1.91,74,72,2,63.2,0.0,300,1.0,1.0,c,6,54.0,t,2.8,s,d,n,null,0,p,y,n,n,1,secondary or 2nd impact 2 km diam. 26 km SSW,flows extend off digital coverage,terraced,single crater,circular,multi-ring,dark,no,plains,yes,no,no,pristine with ejecta
140,Grimke,17.237,215.348,34.6,1,6052.28,2.86,105,88,17,28.8,47.9,0,1.0,1.0,c,3,10.4,t,4.1,s,d,n,null,0,pf,y,n,y,1,null,terraced,single crater,circular,central peak,dark,no,null,yes,no,yes,pristine with ejecta
141,Bourke-White,21.167,147.948,34.4,1,6050.96,2.55,80,83,-3,24.9,0.0,120,0.9,1.0,c,3,11.4,t,4.9,s,d,n,nw,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
142,Sabin,-38.5,274.75,34.3,1,6052.34,1.91,137,109,28,37.7,62.9,0,1.0,1.0,c,3,7.8,t,4.1,s,b,y,ne,0,pf,y,n,n,1,null,terraced,single crater,circular,central peak,bright,yes,null,yes,no,no,pristine with ejecta
143,Joshee,5.483,288.721,34.3,1,6052.12,2.86,152,150,2,0.0,0.0,0,0.0,0.7,c,0,0.0,u,0.0,s,i,n,null,0,ri,n,y,y,3,rifted; 41.1 km diam in direction of rifting,unterraced,single crater,circular,flat floor,intermediate,no,rift,no,yes,yes,highly degraded
144,Hellman,4.751,356.27,34.2,1,6051.21,1.91,94,104,-10,44.9,52.0,0,0.9,1.0,c,3,8.2,t,7.2,s,d,n,se,0,c,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,coronae,yes,no,no,pristine with ejecta
145,Amaya,11.313,89.394,34.0,1,6052.56,2.55,98,112,-14,31.0,0.0,120,1.0,1.0,e,3,6.7,t,5.1,s,d,n,w,0,r,y,n,n,1,null,terraced,single crater,null,central peak,dark,no,ridge belt,yes,no,no,pristine with ejecta
146,Wen Shu,-5.0,303.692,33.4,1,6051.95,2.86,119,110,9,25.1,0.0,0,1.0,1.0,c,3,10.2,t,2.7,s,i,n,wnw,0,p,y,y,n,1,null,terraced,single crater,circular,central peak,intermediate,no,plains,yes,yes,no,pristine with ejecta
147,Olesnicka,18.308,210.91,33.3,3,6052.37,0.0,0,0,0,0.0,0.0,0,0.0,1.0,c,0,0.0,u,0.0,s,i,n,null,0,ri,n,y,y,3,null,unterraced,single crater,circular,flat floor,intermediate,no,rift,no,yes,yes,highly degraded
148,Munter,-15.287,39.351,33.2,1,6051.31,2.23,94,83,11,35.8,94.5,120,1.0,1.0,c,3,3.7,t,5.7,s,d,n,null,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
149,Landowska,84.5,74.2,33.0,1,6050.45,3.18,0,0,0,0.0,0.0,0,0.0,0.0,null,0,0.0,null,0.0,s,null,null,null,0,null,null,null,null,0,digital image (PIDR) not available,null,single crater,null,null,null,null,null,null,null,null,null
15,Bonnevie,-36.114,127.032,87.6,1,6052.42,0.95,93,114,-21,63.6,0.0,270,0.6,1.0,c,4,28.0,t,7.6,s,d,n,null,0,pf,y,y,n,1,null,terraced,single crater,circular,several peaks,dark,no,null,yes,yes,no,pristine with ejecta
150,Gaze,17.907,240.222,32.9,1,6051.65,0.95,146,121,25,24.5,0.0,0,0.3,1.0,c,3,7.1,t,0.0,s,i,n,null,0,pf,y,n,y,2,null,terraced,single crater,circular,central peak,intermediate,no,null,yes,no,yes,no ejecta
151,Callirhoe,21.235,140.687,32.9,1,6051.33,2.55,76,61,15,35.0,78.3,0,1.0,1.0,c,3,11.2,t,5.2,s,d,n,null,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
152,Edinger,-68.8,208.5,32.8,1,6051.6,4.46,106,90,16,21.6,97.6,220,1.0,1.0,c,3,8.6,t,0.0,s,i,y,null,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,intermediate,yes,plains,yes,no,no,pristine with ejecta
153,Bathsheba,-15.061,49.457,32.7,1,6051.65,1.91,143,94,49,26.9,25.4,100,1.0,1.0,c,3,8.3,t,5.0,s,b,y,null,16,p,y,n,n,1,null,terraced,single crater,circular,central peak,bright,yes,plains,yes,no,no,pristine with ejecta
154,Mu Guiying,41.204,81.037,32.7,1,6051.6,1.59,131,90,41,21.4,51.7,0,0.9,1.0,i,4,14.2,t,0.0,s,b,n,nw,0,p,y,n,n,1,located on scarp,terraced,single crater,irregular,several peaks,bright,no,plains,yes,no,no,pristine with ejecta
155,Erinna,-78.001,309.15,32.4,1,6051.2,1.59,108,115,-7,0.0,0.0,0,0.0,1.0,c,3,9.5,t,3.2,s,i,n,null,0,p,n,n,n,1,null,terraced,single crater,circular,central peak,intermediate,no,plains,no,no,no,pristine with ejecta
156,Goeppert-Meyer,59.675,26.84,32.4,1,6051.6,1.27,100,99,1,23.9,0.0,0,0.3,0.7,i,3,9.3,t,5.9,s,d,n,null,0,p,y,y,n,2,null,terraced,single crater,irregular,central peak,dark,no,plains,yes,yes,no,no ejecta
157,Jex-Blake,65.366,169.306,32.4,1,6050.11,3.5,102,96,6,18.3,0.0,0,1.0,1.0,c,3,6.1,t,6.7,s,i,n,null,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,intermediate,no,plains,yes,no,no,pristine with ejecta
158,Yonge,-14.0,115.1,32.1,1,6053.82,1.27,144,124,20,53.5,0.0,0,0.8,1.0,c,4,15.0,u,0.0,s,b,n,null,0,pf,y,m,y,2,not all orbits,unterraced,single crater,circular,several peaks,bright,no,null,yes,maybe,yes,no ejecta
159,Sitwell,16.623,190.405,31.9,1,6053.46,1.91,128,134,-6,18.2,0.0,0,1.0,1.0,c,4,11.1,t,4.8,s,d,m,null,0,ri,y,n,n,1,null,terraced,single crater,circular,several peaks,dark,maybe,rift,yes,no,no,pristine with ejecta
16,Addams,-56.145,98.959,87.1,1,6051.47,2.86,109,100,9,68.0,514.8,0,0.7,1.0,c,5,0.0,t,9.5,s,d,n,se,0,p,y,n,n,1,not all orbits,terraced,single crater,circular,peak rings,dark,no,plains,yes,no,no,pristine with ejecta
160,Erxleben,-50.855,39.414,31.7,1,6052.2,0.95,90,85,5,20.3,0.0,0,0.9,1.0,c,4,13.5,u,2.9,s,d,n,null,0,pf,y,m,y,2,null,unterraced,single crater,circular,several peaks,dark,no,null,yes,maybe,yes,no ejecta
161,Romanskaya,23.237,178.454,31.7,1,6052.18,0.95,130,134,-4,38.3,0.0,80,0.7,1.0,c,4,17.0,t,1.6,s,i,n,null,0,pf,y,n,y,2,null,terraced,single crater,circular,several peaks,intermediate,no,null,yes,no,yes,no ejecta
162,Terhi,45.72,253.112,14.5,1,6051.07,2.23,123,119,4,31.2,54.8,270,1.0,1.0,i,2,0.0,u,0.0,f,b,n,se,2,p,n,n,n,1,null,unterraced,crater field,irregular,knobby base,bright,no,plains,no,no,no,pristine with ejecta
163,Gwynn,9.717,37.233,31.5,1,6052.07,1.27,92,91,1,23.1,0.0,0,0.9,1.0,c,3,8.0,t,6.5,s,d,n,n,0,v,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,volcano,yes,no,no,pristine with ejecta
164,Godiva,-56.134,251.626,31.4,1,6051.2,2.55,96,92,4,22.1,0.0,80,0.9,1.0,c,3,7.1,t,4.9,s,d,n,sw,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
165,Bassi,-18.955,64.741,31.4,1,6051.02,1.91,135,75,60,0.0,0.0,110,1.0,1.0,c,3,7.8,t,6.7,s,b,y,null,0,p,y,n,n,1,not all orbits,terraced,single crater,circular,central peak,bright,yes,plains,yes,no,no,pristine with ejecta
166,Ichikawa,-61.589,156.301,31.3,1,6051.05,2.55,95,89,6,15.9,66.6,90,0.9,1.0,c,3,7.7,t,3.3,s,d,n,null,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
167,Callas,2.438,27.031,31.3,1,6051.07,2.55,96,95,1,28.1,0.0,100,1.0,1.0,c,3,10.9,t,5.2,s,d,n,null,0,pf,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,null,yes,no,no,pristine with ejecta
168,Deloria,-32.012,97.141,31.1,1,6052.13,1.91,110,85,25,21.9,0.0,0,0.8,1.0,c,4,10.2,t,4.4,s,i,n,null,0,pf,y,n,n,2,null,terraced,single crater,circular,several peaks,intermediate,no,null,yes,no,no,no ejecta
169,Simonenko,-26.86,97.617,31.1,1,6052.48,1.91,91,95,-4,20.4,0.0,120,0.9,1.0,c,4,7.9,t,3.9,s,d,n,sse,0,p,y,n,n,1,null,terraced,single crater,circular,several peaks,dark,no,plains,yes,no,no,pristine with ejecta
17,Graham,-6.222,6.024,84.1,1,6051.11,2.86,112,93,19,105.1,242.0,0,0.7,1.0,i,2,0.0,t,2.9,s,i,n,sse,0,pf,y,n,n,1,highly oblique impact,terraced,single crater,irregular,knobby base,intermediate,no,null,yes,no,no,pristine with ejecta
170,Duse,-82.5,357.7,31.0,1,0.0,0.64,66,76,-10,0.0,0.0,0,0.0,0.0,c,3,0.0,t,5.6,s,i,n,null,0,p,y,n,n,1,not all orbits,terraced,single crater,circular,central peak,intermediate,no,plains,yes,no,no,pristine with ejecta
171,Aurelia,20.273,331.826,31.0,1,6050.36,2.86,133,76,57,24.9,56.0,80,0.7,0.9,c,3,8.8,t,4.4,s,b,y,se,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,bright,yes,plains,yes,no,no,pristine with ejecta
172,Taglioni,41.718,122.575,31.0,1,6051.47,1.59,108,93,15,26.9,0.0,90,0.9,1.0,c,3,11.5,t,6.1,s,d,n,nnw,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
173,Nadira,44.134,201.543,31.0,1,6051.07,1.91,111,116,-5,18.5,0.0,80,0.9,1.0,c,3,0.0,t,4.5,s,i,n,ene,0,pf,y,n,y,1,null,terraced,single crater,circular,central peak,intermediate,no,null,yes,no,yes,pristine with ejecta
174,Leonard,-73.831,185.177,30.8,1,6051.59,2.55,108,97,11,31.4,0.0,38,1.0,1.0,i,3,3.9,t,6.3,s,i,n,e,0,p,y,n,y,1,null,terraced,single crater,irregular,central peak,intermediate,no,plains,yes,no,yes,pristine with ejecta
175,Hwangcini,6.296,141.768,30.8,1,6051.73,2.55,111,94,17,24.5,74.2,230,0.9,1.0,c,3,8.0,t,5.7,s,i,n,se,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,intermediate,no,plains,yes,no,no,pristine with ejecta
176,Vacarescu,-62.962,199.764,30.6,1,6051.33,3.5,91,86,5,21.9,26.2,0,1.0,1.0,c,3,10.1,t,4.8,s,d,n,sw,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
177,Carr,-24.022,295.7,30.6,1,6051.82,2.23,98,99,-1,12.6,0.0,0,0.6,1.0,c,3,9.5,t,3.7,s,d,n,null,8,pf,y,n,y,1,null,terraced,single crater,circular,central peak,dark,no,null,yes,no,yes,pristine with ejecta
178,Fossey,2.0,188.7,30.6,1,6052.57,2.23,94,98,-4,21.6,44.1,180,0.9,1.0,c,3,7.6,t,6.4,s,d,n,ene,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
179,Pena,-23.615,190.651,30.5,1,6052.29,2.23,104,97,7,20.0,0.0,120,0.8,1.0,c,3,12.2,t,4.3,s,d,n,se,0,pf,y,n,y,1,null,terraced,single crater,circular,central peak,dark,no,null,yes,no,yes,pristine with ejecta
18,Sanger,33.781,288.579,83.8,1,6053.03,4.46,85,103,-18,70.2,293.0,0,0.8,1.0,c,5,51.3,t,7.0,s,d,n,ne,3,p,y,n,n,1,null,terraced,single crater,circular,peak rings,dark,no,plains,yes,no,no,pristine with ejecta
180,Goncharova,-63.0,97.7,30.1,1,6052.17,1.59,101,97,4,36.9,171.9,0,0.6,1.0,i,2,0.0,t,4.6,s,d,n,null,0,p,m,n,m,1,null,terraced,single crater,irregular,knobby base,dark,no,plains,maybe,no,maybe,pristine with ejecta
181,Peck,-28.9,294.266,30.1,1,6051.99,1.59,96,88,8,12.4,0.0,0,0.7,1.0,c,3,12.5,u,1.9,s,d,n,null,0,t,y,m,n,2,null,unterraced,single crater,circular,central peak,dark,no,tessera and mountain belts,yes,maybe,no,no ejecta
182,Blackburne,11.0,183.9,30.1,1,6053.34,1.27,106,101,5,25.9,40.7,0,1.0,1.0,c,4,7.4,t,5.6,s,d,n,null,0,p,y,n,n,1,null,terraced,single crater,circular,several peaks,dark,no,plains,yes,no,no,pristine with ejecta
183,Tseraskaya,28.643,79.269,30.1,1,6051.64,2.86,113,115,-2,27.0,0.0,0,0.6,1.0,c,3,9.4,t,3.8,s,i,n,null,0,t,y,n,n,2,null,terraced,single crater,circular,central peak,intermediate,no,tessera and mountain belts,yes,no,no,no ejecta
184,Golubkina,60.3,286.5,30.1,1,6051.12,3.5,95,97,-2,27.8,0.0,90,0.9,1.0,c,3,8.4,t,7.4,s,d,n,wnw,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
185,Winnemucca,-15.353,121.064,30.1,3,6053.36,0.0,0,0,0,20.6,67.1,0,0.4,1.0,e,0,0.0,t,0.0,s,i,n,null,0,pf,y,n,y,3,null,terraced,single crater,null,flat floor,intermediate,no,null,yes,no,yes,highly degraded
186,Rudneva,78.43,174.785,29.9,1,6051.56,2.55,83,80,3,19.1,0.0,0,1.0,1.0,c,3,7.3,t,4.2,s,d,n,null,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
187,Medhavi,-19.344,40.567,29.8,1,6051.77,2.55,87,81,6,16.7,38.5,80,1.0,1.0,c,3,7.2,t,4.4,s,d,n,null,6,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
188,Laurencin,-15.35,46.548,29.8,1,6051.5,2.55,94,92,2,23.2,0.0,0,0.7,1.0,c,3,7.9,t,4.9,s,d,n,null,0,pf,y,n,y,1,null,terraced,single crater,circular,central peak,dark,no,null,yes,no,yes,pristine with ejecta
189,Bugoslavskaya,-22.983,300.444,29.7,1,6051.41,2.23,106,101,5,23.4,0.0,60,0.9,1.0,c,3,9.0,t,4.5,s,d,n,s,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
19,Mona Lisa,25.612,25.185,82.5,1,6051.41,2.23,81,85,-4,48.1,101.0,450,1.0,1.0,c,6,65.7,t,5.0,s,d,n,null,0,p,y,n,n,1,radial fracs in center surrounded by concentric fractures,terraced,single crater,circular,multi-ring,dark,no,plains,yes,no,no,pristine with ejecta
