reference_num,name,lat,lon,diameter,confidence,elevation,rho,dn_inside,dn_outside,dn_difference,continous_ejecta_rad,flow_length,dark_halo_diameter,ejecta_completeness,rim_completeness,planform,morphologic_class,central_structure_diameter,wall_terracing,wall_width,multiple_crater,floor_reflectivity,parabolic_feature,impactor_direction,multi_asteroid_grp_num,terrain,interior_flat_floor,exterior_embayment,tectionically_deformed,degradation_state,comments,wall_terracing_detail,multicrater_detail,planform_detail,morph_class_detail,floor_reflectivity_detail,parabolic_detail,terrain_detail,interior_floor_detail,exterior_embayment_detail,techtonically_deformed_detail,degradation_state_detail
90,Beecher,13.066,253.465,42.8,2,6051.5,0.95,144,95,49,27.5,0.0,0,0.8,0.9,c,4,17.5,u,0.0,s,b,n,null,0,ri,null,y,y,2,null,unterraced,single crater,circular,several peaks,bright,no,rift,null,yes,yes,no ejecta
900,crater_at_4.6N_241.4E,4.609,241.403,3.6,2,6051.17,1.59,0,0,0,8.0,0.0,0,0.4,0.7,c,2,0.0,u,0.0,s,i,n,e,0,pf,n,n,n,1,null,unterraced,single crater,circular,knobby base,intermediate,no,null,no,no,no,pristine with ejecta
901,Aisha,39.24,53.365,3.6,2,6051.1,2.86,0,0,0,6.8,0.0,0,0.7,1.0,c,1,0.0,u,0.0,s,b,n,null,0,p,n,n,n,1,null,unterraced,single crater,circular,bowl,bright,no,plains,no,no,no,pristine with ejecta
902,crater_at_43.3N_67.7E,43.337,67.707,3.6,2,6050.7,1.91,0,0,0,12.3,0.0,0,0.5,1.0,i,2,0.0,u,0.0,s,i,n,ene,0,pf,n,n,n,1,null,unterraced,single crater,irregular,knobby base,intermediate,no,null,no,no,no,pristine with ejecta
903,crater_at_77.4N_109.0E,77.4,109.0,3.5,2,0.0,3.18,0,0,0,5.6,0.0,30,0.2,0.7,i,2,0.0,u,0.0,m,d,n,null,0,p,n,n,n,1,ejecte deposits of Klenova overlie dark halo,unterraced,multiple floor,irregular,knobby base,dark,no,plains,no,no,no,pristine with ejecta
904,crater_at_66.5N_251.8E,66.522,251.779,3.5,3,6051.46,0.0,0,0,0,0.0,0.0,0,0.0,1.0,c,0,0.0,u,0.0,s,d,n,null,0,c,n,y,y,3,null,unterraced,single crater,circular,flat floor,dark,no,coronae,no,yes,yes,highly degraded
905,crater_at_25.0S_311.2E,-25.043,311.181,3.4,2,6051.56,2.55,0,0,0,7.5,0.0,20,0.5,1.0,i,2,0.0,u,0.0,s,i,n,nw,0,p,n,n,n,1,null,unterraced,single crater,irregular,knobby base,intermediate,no,plains,no,no,no,pristine with ejecta
906,crater_at_10.3S_327.6E,-10.313,327.595,3.3,1,6051.8,0.64,0,0,0,5.7,0.0,30,0.5,1.0,i,2,0.0,u,0.0,m,i,n,ese,0,p,n,n,n,1,null,unterraced,multiple floor,irregular,knobby base,intermediate,no,plains,no,no,no,pristine with ejecta
907,crater_at_8.3N_267.7E,8.331,267.674,3.3,1,6051.27,2.55,0,0,0,6.9,0.0,30,0.6,1.0,c,1,0.0,u,0.0,s,i,n,sse,0,p,n,n,n,1,null,unterraced,single crater,circular,bowl,intermediate,no,plains,no,no,no,pristine with ejecta
908,crater_at_22.5S_270.0E,-22.465,269.971,3.3,2,6052.29,1.91,0,0,0,3.5,0.0,0,0.5,1.0,i,2,0.0,u,0.0,s,i,n,null,0,p,n,n,y,2,null,unterraced,single crater,irregular,knobby base,intermediate,no,plains,no,no,yes,no ejecta
